"","y","w","noplan","factor","antib","yl","patco"
"1","3",87,"not","risk factors","antibiotics",0,1
"2","1",4,"not","risk factors","antibiotics",1,1
"3","2",7,"not","risk factors","antibiotics",1,1
"4","2",13,"not","risk factors","without",1,2
"5","1",10,"not","risk factors","without",1,2
"6","3",3,"not","risk factors","without",0,2
"7","2",0,"not","without","antibiotics",1,3
"8","3",0,"not","without","antibiotics",0,3
"9","1",0,"not","without","antibiotics",1,3
"10","2",0,"not","without","without",1,4
"11","3",9,"not","without","without",0,4
"12","1",0,"not","without","without",1,4
"13","1",0,"planned","risk factors","antibiotics",1,5
"14","2",1,"planned","risk factors","antibiotics",1,5
"15","3",17,"planned","risk factors","antibiotics",0,5
"16","2",17,"planned","risk factors","without",1,6
"17","3",30,"planned","risk factors","without",0,6
"18","1",11,"planned","risk factors","without",1,6
"19","1",0,"planned","without","antibiotics",1,7
"20","3",2,"planned","without","antibiotics",0,7
"21","2",0,"planned","without","antibiotics",1,7
"22","2",4,"planned","without","without",1,8
"23","3",32,"planned","without","without",0,8
"24","1",4,"planned","without","without",1,8
